,course,url,lat,lon
152,Lakes Woods Course at Mystic Creek Golf Club,missing,42.5886155,-83.62996369999999
153,Prineville Golf & Country Club,missing,44.297093,-120.8532501
154,Fleming Course at Harding Park Golf Course,http://www.Harding-Park.com,37.7261389,-122.4926586
155,Nevel Meade Golf Club,missing,38.3780581,-85.55898669999999
156,Leavenworth Country Club,missing,39.265695,-94.908559
157,Buffalo Valley Country Club,missing,40.6886707,-79.6768724
158,Peridia Golf & Country Club,missing,27.4538626,-82.509872
159,Links At Novadell,missing,36.8421778,-87.4981937
160,Pinehaven Country Club,missing,42.715594,-73.908463
161,Latta Lea Golf Club,missing,43.249515,-77.62381599999999
162,Earlville Country Club,missing,41.5893798,-88.91768870000001
163,Ellsworth Country Club,missing,44.75382,-92.4814298
164,White Blue Course at Eldorado Golf Course,missing,42.5974151,-84.4934637
165,Brown Blue Course at Del-Aire Country Club,missing,26.4285661,-80.1152032
166,Adirondack Golf & Country Club,http://www.adirondackgolfclub.com,44.6083939,-73.48531799999999
167,Whip-Poor-Will Golf Course,http://www.playgolfne.com,42.7865469,-71.43020709999999
168,Eighteen Hole Course at Arrowhead Golf Course,missing,39.4520713,-105.078762
169,Springview Country Club,missing,30.783704,-90.44103849999999
170,Blue White Course at Northmoor Country Club,http://www.northmoor.org,42.1663135,-87.7926731
171,Red Blue Course at Lindenwood Golf Club,http://www.lindenwoodgolf.com,40.2473895,-80.1330885
172,Greystone Golf Course,missing,39.63577,-76.60328899999999
173,Michigan Meadows Golf Course,missing,42.7636842,-82.7313356
174,TPC at Piper Glen,missing,35.073551,-80.8110159
175,Hide-A-Way Golf Course,http://www.hide-a-waygolf.com,42.8225391,-78.7985652
176,Anchor Golf Land,missing,40.81245699999999,-74.39583499999999
177,River Mont Golf Course,missing,34.0013582,-84.264799
178,Mountain Course at Lake Placid Club Resort,http://www.lpresort.com,44.2794911,-73.9798713
179,Nine Hole Par 3 Course at Smithtown Landing Golf Club,missing,40.8866675,-73.2046889
180,Beulah Municipal Golf Course,missing,47.2508236,-101.7815975
181,Sierra Sage Golf Course,missing,39.6262001,-119.8846307
182,North Course at Los Serranos Golf & Country Club,missing,33.9694368,-117.7007733
183,Country Club of Florida,missing,26.504377,-80.1033358
184,Hills Course at Walden Lake Golf & Country Club,http://www.waldenlakegolf.com,27.9896267,-82.16187719999999
185,Kempsville Greens Municipal Golf Course,missing,36.8201707,-76.1485715
186,The Cedar River Course at Shanty Creek,http://www.shantycreek.com,44.948651,-85.185293
187,Pine Hills Golf Club,http://www.pinehillsgc.com,41.264616,-81.78369099999999
188,Rattlesnake Ridge Golf Club,http://www.rrgolfclub.com,40.22074800000001,-82.794406
189,Meadows Country Club,missing,27.3634946,-82.4770525
190,Wilshire Golf Club,missing,36.01625,-80.25818699999999
191,Kilkarney Hills Golf Course,http://www.kilkarneyhills.com,44.8890628,-92.6435214
192,Merit Club,missing,42.3355426,-87.9556997
193,Hope Country Club,missing,33.6304183,-93.57517
194,Chosen Valley Country Club,missing,43.8338888,-92.1679072
195,Trenton Country Club,missing,40.245003,-74.8141575
196,Front Back Course at Hankered Hills Golf Course,missing,42.3903876,-84.3344843
197,Champions Club,missing,36.0477731,-94.181579
198,Regulation Course at Lake Chabot Municipal Golf Course,missing,37.7433753,-122.1184873
199,Lidgerwood Golf Club,missing,46.0742731,-97.1419372
200,Sands RV Resort,missing,33.92683,-116.482191
201,Morningstar Golf Club,http://www.morningstargc.com,42.903824,-88.2724001
202,Grows Vineyard Greens Closed For Renovation,missing,,
203,Shoal River Country Club,missing,30.7508724,-86.46070449999999
204,South West Course at Meriwether National Golf Club,missing,45.481243,-122.9464609
205,Pine Bay Golf Course,missing,37.57488,-97.30712469999999
206,Par 3 Course at Crosswinds Golf Club,http://www.crosswindsgolfclub.com,32.1349168,-81.23178949999999
207,Newnan Country Club,missing,33.4189103,-84.7765378
208,Richmond Country Club,missing,49.132644,-123.124337
209,Maynard Country Club,missing,42.442889,-71.449277
210,Seven Hills Country Club,missing,40.9504856,-81.3068141
211,Rolling Rock Club,missing,40.2096888,-79.2070463
212,Bridges at Casino Magic,http://www.casinomagic-baystlouis.com,30.3349965,-89.35459449999999
213,Discovery Bay Country Club,missing,37.894651,-121.5936315
214,Lakeview Course at Lakeview Resort,http://www.lakeviewresort.com,39.6664632,-79.8538528
215,Jersey Meadow Golf Complex,missing,29.8948604,-95.5725099
216,Eighteen Course at Byron Hills Golf Course,missing,41.609088,-90.30113600000001
217,Mohican Hills Golf Club,missing,40.7770386,-82.1319742
218,St. James Country Club,missing,43.9820734,-94.62831919999999
219,Prairies of Cahokia Golf Course,missing,38.5558983,-90.1769341
220,Brownwood Country Club,missing,31.6551837,-98.9943165
221,Cole Acres Golf Course,missing,42.6037484,-90.4092222
222,Warren Golf Course at Notre Dame,http://www.und.com,41.7126817,-86.2238091
223,Tamaron Country Club,http://www.tamaroncc.com,41.7265399,-83.5977868
224,Cherokee Ridge Country Club,http://www.cherokeeridge.com,34.4245571,-86.55997839999999
225,Bobby Jones Golf Course,missing,27.3455409,-82.4881934
226,Valley Mountain Course at Pinery Country Club,missing,39.4552671,-104.7344187
227,Piankatank River Golf Club,http://www.virginiagolf.com/piankatank.html,37.553866,-76.4800358
228,Ottumwa Country Club,missing,41.0407553,-92.3999152
229,Somersett Country Club,http://www.somersett.com,39.534948,-119.931998
230,Wildfire Golf Club,missing,44.54359660000001,-78.08983099999999
231,TPC of Virginia Beach,missing,36.7593697,-76.0746097
232,Pleasantville Golf & Country Club,missing,41.3810663,-93.263097
233,Northcliffe Golf & Country Club,missing,29.6245421,-98.22730899999999
234,West Helena Municipal Golf Course,missing,34.5766526,-90.6633157
235,Kaluhyat Course at Turning Stone Casino Resort,http://www.turning-stone.com,43.115051,-75.589163
236,Three Hole Junior Course at Blue River Golf Academy,missing,38.9874079,-94.52672179999999
237,Blue Mountain View Golf Course,missing,40.459942,-76.40082199999999
238,Blue Green Course at Sunken Meadow State Park Golf Course,missing,40.9115951,-73.2578766
239,18-Hole Championship Course at Summit Golf Course,missing,38.8511147,-94.51387509999999
240,Heron Course at Spring Lake Golf Resort,http://www.springlakegolf.com,27.441508,-81.31681329999999
241,Pezhekee National Golf Course,http://www.petersresort.com/golf.html,45.61406299999999,-95.410866
242,Millburn Municipal Golf Course,missing,40.746049,-74.339378
243,Beech Hollow Golf Course,missing,43.5166943,-84.0470124
244,Front Middle Course at Rolling Green Golf Club,missing,34.917812,-82.5844061
245,Cardinal Golf Course,missing,44.035638,-79.56842
246,Davy Crockett Golf Course,missing,35.2437139,-89.9713941
247,Tee-Bird South Course at Tee-Bird Country Club,missing,43.2616759,-73.6197698
248,Jade Greens Golf Club,missing,47.301378,-122.0982771
249,Chiricahua Course at Desert Mountain,http://www.desertmountain.com,33.8700618,-111.8597819
250,Regent Park Golf Club,http://www.regentparkgolfclub.com,35.073829,-80.918103
251,Skagit Golf & Country Club,missing,48.46264799999999,-122.385321
252,North Course at Gull Lake Views Stonehedge & North Course,http://www.gulllakeview.com,42.36818299999999,-85.386482
253,Carmela Vineyards Golf Course,missing,42.944591,-115.311806
254,Regulation Course at Manor Country Club,http://www.manorcc.com,39.1025569,-77.0857132
255,Front Course at Crystal Lake Golf Course,missing,33.9549481,-80.3507518
256,Shamokin Tuckahoe Course at Stoney Creek at Wintergreen Resort,http://www.wintergreenresort.com,40.7889746,-76.5588473
257,Yankee Run Golf Course,http://www.yankeerun.com,41.2351676,-80.5444065
258,West Course at Myrtle Beach National Golf Club,missing,33.7910212,-78.9662561
259,Red Blue Course at Tiburon Golf Club,missing,26.247831,-81.764888
260,Valley Hills Golf Club,missing,39.0150069,-94.19855799999999
261,Allentown Municipal Golf Course,missing,40.5974087,-75.5350005
262,Fairfield Country Club,http://www.fairfieldcountryclub.com,41.1294033,-73.27735419999999
263,Miry Run Country Club,missing,40.2129471,-74.605261
264,Elephant Rocks at Williams,missing,35.252569,-112.229903
265,Meadow Greens Golf Course,missing,43.7210693,-92.9691977
266,Placid Lakes Country Club,missing,27.260517,-81.399956
267,Martin County Country Club,missing,27.1221995,-80.1829936
268,Creek 1   Creek 2 Course at Mill Creek Golf Club & Inn,http://www.millcreek-golf.com,30.9551331,-97.5156714
269,Marion Elks Country Club,missing,40.5801627,-85.6413901
270,Golf Club at Thornapple Pointe,http://www.thornapplepointe.com,42.8779727,-85.4878465
271,El Diablo Course at Rancho Viejo Resort & Country Club,missing,26.0411957,-97.5485822
272,18-Hole Course at Fairfield Golf Club,http://www.fairfieldgc.com,39.3454673,-84.5603187
273,Park Hills Golf & Supper Club,missing,42.2938945,-89.6759972
274,Irish Waters Golf Club,missing,44.3922669,-88.32440799999999
275,Spider Lake Golf Resort,missing,46.0973699,-91.24545570000001
276,Westchester Hills Golf Club,missing,41.0093977,-73.74354679999999
277,Northwest Golf Par 3,missing,45.672438,-122.697967
278,Tortuga Course at Haven Public Golf Club,missing,31.87144,-110.985663
279,Willow Creek Golf Center,missing,42.733104,-83.24652900000001
280,Tuscarora Country Club,missing,36.676457,-79.4311479
281,White Blue Course at Aeropines Golf Course,missing,36.8034328,-76.0260587
282,Revolution Park Golf Course,http://www.revolutionparkgolf.com,35.213736,-80.87859
283,Ricci Meadows Golf Course,missing,43.31953499999999,-78.18345699999999
284,White Blue Course at Pebble Creek Golf Club,http://www.pebblecreekgolf.com,45.405168,-93.868287
285,Montgomery Village Golf Club,missing,39.1819342,-77.2005614
286,Casta del Sol Golf Course,missing,33.6173157,-117.6492988
287,Eldorado Valley Course at Boulder Creek Golf Club,http://www.bouldercreekgc.com,35.9605097,-114.8579853
288,Arlington Course at Army Navy Country Club - Arlington,missing,38.8573724,-77.0792183
289,Big Fish Golf Club,http://www.bigfishgolf.com,45.9912935,-91.3974832
290,Dwight D. Eisenhower Course at Industry Hills Pacific Palms Resort,missing,34.0206838,-117.9322229
291,North East Course at Sahalee Country Club,missing,47.6348843,-122.0570103
292,Pine Barrens Course at World Woods Golf Club,http://www.worldwoods.com,28.682976,-82.479387
293,North Olmstead Golf Club,missing,41.403936,-81.915807
294,Ardsley Country Club,http://www.ardsleycc.org,41.0236637,-73.8570641
295,West Shore Golf & Country Club,missing,42.14011,-83.16887299999999
296,Eighteen Hole Course at Riverside Municipal Golf Club,missing,43.7161926,-70.3126261
297,Virginia National Golf Club,http://www.virginianational.com,39.1354079,-77.8699747
298,White Sands Golf Course,missing,45.46197919999999,-75.55201160000001
299,Highland Valley Course at Beekman Country Club,http://www.beekmangolf.com,41.5931478,-73.7768519
300,Executive Nine Course at High Cedars Golf Club,http://www.highcedars.com,47.1162966,-122.2388035
301,Lakeview Bayview Course at A. C. Read Golf Course,missing,30.359286,-87.2797894
302,Roses Run Country Club,missing,41.144278,-81.414276
303,Championship Course at Elmwood Golf Club,http://www.dakotagolf.com,50.296115,-107.773577
304,Shadowood Golf Course,http://www.shadowoodgolf.com,38.9626029,-85.84437280000002
305,Pine Meadow Public Golf Course,missing,42.2909469,-87.9845034
306,Flag Springs Golf Course,missing,38.8867232,-84.2592885
307,East West Course at Rose Hill Golf Club,missing,32.279433,-80.8835249
308,Hendricks Field Golf Course,missing,40.7960154,-74.16870349999999
309,North Course at Ft. Lauderdale Country Club,missing,26.1224386,-80.13731740000001
310,Par Three- Bistro,missing,29.9372631,-89.9493723
311,Avery Ranch Golf Club,http://www.averyranchgolf.com,30.5040067,-97.7706033
312,Edmundson Golf Course,missing,41.2814884,-92.6588233
